GDD,ID,Gene,Tissue,Exp
,,,,
865,1-Hull,ptg000018l.1963,Hull,12.8911959
,,,,
993,1-Hull,ptg000018l.1963,Hull,4.015431475
,,,,
1106,1-Hull,ptg000018l.1963,Hull,7.364041861
,,,,
1223,1-Hull,ptg000018l.1963,Hull,11.43976551
,,,,
1357,1-Hull,ptg000018l.1963,Hull,19.51300891
,,,,
1508,1-Hull,ptg000018l.1963,Hull,12.10305553
,,,,
1647,1-Hull,ptg000018l.1963,Hull,6.303818853
,,,,
1759,1-Hull,ptg000018l.1963,Hull,12.0775394
,,,,
1881,1-Hull,ptg000018l.1963,Hull,10.63511077
,,,,
2007,1-Hull,ptg000018l.1963,Hull,3.153620199
,,,,
2139,1-Hull,ptg000018l.1963,Hull,2.555396439
,,,,
2284,1-Hull,ptg000018l.1963,Hull,6.529872418
,,,,
2377,1-Hull,ptg000018l.1963,Hull,3.694531754
,,,,
2475,1-Hull,ptg000018l.1963,Hull,6.420041935
,,,,
2564,1-Hull,ptg000018l.1963,Hull,3.124188883
,,,,
865,1-Shell,ptg000018l.1963,Shell,3.884317606
,,,,
993,1-Shell,ptg000018l.1963,Shell,4.302343077
,,,,
1106,1-Shell,ptg000018l.1963,Shell,4.326996665
,,,,
1223,1-Shell,ptg000018l.1963,Shell,5.47625872
,,,,
1357,1-Shell,ptg000018l.1963,Shell,13.80489508
,,,,
1508,1-Shell,ptg000018l.1963,Shell,45.90427669
,,,,
1647,1-Shell,ptg000018l.1963,Shell,8.832812908
,,,,
1759,1-Shell,ptg000018l.1963,Shell,994.4385897
,,,,
1881,1-Shell,ptg000018l.1963,Shell,26.50024494
,,,,
2007,1-Shell,ptg000018l.1963,Shell,151.8609316
,,,,
2139,1-Shell,ptg000018l.1963,Shell,39.99344849
,,,,
1223,1-Kernel,ptg000018l.1963,Kernel,2427.166757
,,,,
1357,1-Kernel,ptg000018l.1963,Kernel,2330.760531
,,,,
1508,1-Kernel,ptg000018l.1963,Kernel,2393.825604
,,,,
1647,1-Kernel,ptg000018l.1963,Kernel,4824.723881
,,,,
1759,1-Kernel,ptg000018l.1963,Kernel,4311.242175
,,,,
1881,1-Kernel,ptg000018l.1963,Kernel,4967.484412
,,,,
2007,1-Kernel,ptg000018l.1963,Kernel,9939.70884
,,,,
2139,1-Kernel,ptg000018l.1963,Kernel,7414.574974
,,,,
2284,1-Kernel,ptg000018l.1963,Kernel,10292.44859
,,,,
2377,1-Kernel,ptg000018l.1963,Kernel,11667.45048
,,,,
2475,1-Kernel,ptg000018l.1963,Kernel,10307.62185
,,,,
2564,1-Kernel,ptg000018l.1963,Kernel,4920.699626
,,,,
865,2-Hull,ptg000020l.258,Hull,11774.00454
,,,,
993,2-Hull,ptg000020l.258,Hull,8019.893742
,,,,
1106,2-Hull,ptg000020l.258,Hull,7396.58081
,,,,
1223,2-Hull,ptg000020l.258,Hull,4908.207234
,,,,
1357,2-Hull,ptg000020l.258,Hull,2831.666803
,,,,
1508,2-Hull,ptg000020l.258,Hull,2765.944421
,,,,
1647,2-Hull,ptg000020l.258,Hull,2451.316759
,,,,
1759,2-Hull,ptg000020l.258,Hull,2963.346737
,,,,
1881,2-Hull,ptg000020l.258,Hull,6080.160206
,,,,
2007,2-Hull,ptg000020l.258,Hull,1930.185101
,,,,
2139,2-Hull,ptg000020l.258,Hull,3654.785586
,,,,
2284,2-Hull,ptg000020l.258,Hull,2974.621543
,,,,
2377,2-Hull,ptg000020l.258,Hull,2796.949009
,,,,
2475,2-Hull,ptg000020l.258,Hull,1564.418137
,,,,
2564,2-Hull,ptg000020l.258,Hull,4829.295229
,,,,
865,2-Shell,ptg000020l.258,Shell,5437.935678
,,,,
993,2-Shell,ptg000020l.258,Shell,8061.510364
,,,,
1106,2-Shell,ptg000020l.258,Shell,4093.647638
,,,,
1223,2-Shell,ptg000020l.258,Shell,3432.546068
,,,,
1357,2-Shell,ptg000020l.258,Shell,3860.847269
,,,,
1508,2-Shell,ptg000020l.258,Shell,1798.743224
,,,,
1647,2-Shell,ptg000020l.258,Shell,1974.69069
,,,,
1759,2-Shell,ptg000020l.258,Shell,3966.835289
,,,,
1881,2-Shell,ptg000020l.258,Shell,4899.572883
,,,,
2007,2-Shell,ptg000020l.258,Shell,2545.354765
,,,,
2139,2-Shell,ptg000020l.258,Shell,2437.999495
,,,,
1223,2-Kernel,ptg000020l.258,Kernel,1214.94015
,,,,
1357,2-Kernel,ptg000020l.258,Kernel,1086.710444
,,,,
1508,2-Kernel,ptg000020l.258,Kernel,2064.760401
,,,,
1647,2-Kernel,ptg000020l.258,Kernel,747.7794283
,,,,
1759,2-Kernel,ptg000020l.258,Kernel,790.0488015
,,,,
1881,2-Kernel,ptg000020l.258,Kernel,2438.34624
,,,,
2007,2-Kernel,ptg000020l.258,Kernel,721.0282941
,,,,
2139,2-Kernel,ptg000020l.258,Kernel,1816.856335
,,,,
2284,2-Kernel,ptg000020l.258,Kernel,3873.389905
,,,,
2377,2-Kernel,ptg000020l.258,Kernel,2852.793766
,,,,
2475,2-Kernel,ptg000020l.258,Kernel,3397.096127
,,,,
2564,2-Kernel,ptg000020l.258,Kernel,841.0923113
,,,,
865,3-Hull,ptg000004l.784,Hull,129.6925274
,,,,
993,3-Hull,ptg000004l.784,Hull,426.7999139
,,,,
1106,3-Hull,ptg000004l.784,Hull,137.8009172
,,,,
1223,3-Hull,ptg000004l.784,Hull,1136.729347
,,,,
1357,3-Hull,ptg000004l.784,Hull,133.672567
,,,,
1508,3-Hull,ptg000004l.784,Hull,114.1945792
,,,,
1647,3-Hull,ptg000004l.784,Hull,308.2186221
,,,,
1759,3-Hull,ptg000004l.784,Hull,397.2074905
,,,,
1881,3-Hull,ptg000004l.784,Hull,524.1678507
,,,,
2007,3-Hull,ptg000004l.784,Hull,604.611193
,,,,
2139,3-Hull,ptg000004l.784,Hull,31.34651743
,,,,
2284,3-Hull,ptg000004l.784,Hull,30.55598245
,,,,
2377,3-Hull,ptg000004l.784,Hull,94.74913585
,,,,
2475,3-Hull,ptg000004l.784,Hull,54.00010791
,,,,
2564,3-Hull,ptg000004l.784,Hull,19.20053894
,,,,
865,3-Shell,ptg000004l.784,Shell,687.2604636
,,,,
993,3-Shell,ptg000004l.784,Shell,4169.06955
,,,,
1106,3-Shell,ptg000004l.784,Shell,1146.496326
,,,,
1223,3-Shell,ptg000004l.784,Shell,1288.885968
,,,,
1357,3-Shell,ptg000004l.784,Shell,482.5046553
,,,,
1508,3-Shell,ptg000004l.784,Shell,284.3725383
,,,,
1647,3-Shell,ptg000004l.784,Shell,764.6903625
,,,,
1759,3-Shell,ptg000004l.784,Shell,870.1488815
,,,,
1881,3-Shell,ptg000004l.784,Shell,943.9693628
,,,,
2007,3-Shell,ptg000004l.784,Shell,666.1905535
,,,,
2139,3-Shell,ptg000004l.784,Shell,247.8971592
,,,,
1223,3-Kernel,ptg000004l.784,Kernel,1106.790674
,,,,
1357,3-Kernel,ptg000004l.784,Kernel,1792.341417
,,,,
1508,3-Kernel,ptg000004l.784,Kernel,1913.13496
,,,,
1647,3-Kernel,ptg000004l.784,Kernel,1293.694565
,,,,
1759,3-Kernel,ptg000004l.784,Kernel,1634.78369
,,,,
1881,3-Kernel,ptg000004l.784,Kernel,1409.976287
,,,,
2007,3-Kernel,ptg000004l.784,Kernel,1546.233683
,,,,
2139,3-Kernel,ptg000004l.784,Kernel,927.1277355
,,,,
2284,3-Kernel,ptg000004l.784,Kernel,868.6395268
,,,,
2377,3-Kernel,ptg000004l.784,Kernel,1001.285136
,,,,
2475,3-Kernel,ptg000004l.784,Kernel,1157.523775
,,,,
2564,3-Kernel,ptg000004l.784,Kernel,4250.804259
,,,,
865,4-Hull,ptg000030l.211,Hull,924.797185
,,,,
993,4-Hull,ptg000030l.211,Hull,939.1064025
,,,,
1106,4-Hull,ptg000030l.211,Hull,991.3038368
,,,,
1223,4-Hull,ptg000030l.211,Hull,894.8120795
,,,,
1357,4-Hull,ptg000030l.211,Hull,1217.146194
,,,,
1508,4-Hull,ptg000030l.211,Hull,1141.389728
,,,,
1647,4-Hull,ptg000030l.211,Hull,1054.450662
,,,,
1759,4-Hull,ptg000030l.211,Hull,1159.015037
,,,,
1881,4-Hull,ptg000030l.211,Hull,1039.623404
,,,,
2007,4-Hull,ptg000030l.211,Hull,759.0300756
,,,,
2139,4-Hull,ptg000030l.211,Hull,697.7354312
,,,,
2284,4-Hull,ptg000030l.211,Hull,954.1325091
,,,,
2377,4-Hull,ptg000030l.211,Hull,940.4722618
,,,,
2475,4-Hull,ptg000030l.211,Hull,981.2571204
,,,,
2564,4-Hull,ptg000030l.211,Hull,967.6580822
,,,,
865,4-Shell,ptg000030l.211,Shell,891.9005147
,,,,
993,4-Shell,ptg000030l.211,Shell,946.185669
,,,,
1106,4-Shell,ptg000030l.211,Shell,1137.939096
,,,,
1223,4-Shell,ptg000030l.211,Shell,1208.942715
,,,,
1357,4-Shell,ptg000030l.211,Shell,1440.401279
,,,,
1508,4-Shell,ptg000030l.211,Shell,1586.249398
,,,,
1647,4-Shell,ptg000030l.211,Shell,1102.99364
,,,,
1759,4-Shell,ptg000030l.211,Shell,1359.630574
,,,,
1881,4-Shell,ptg000030l.211,Shell,1118.748436
,,,,
2007,4-Shell,ptg000030l.211,Shell,756.9024474
,,,,
2139,4-Shell,ptg000030l.211,Shell,871.3182714
,,,,
1223,4-Kernel,ptg000030l.211,Kernel,686.2306558
,,,,
1357,4-Kernel,ptg000030l.211,Kernel,774.2587217
,,,,
1508,4-Kernel,ptg000030l.211,Kernel,849.5877917
,,,,
1647,4-Kernel,ptg000030l.211,Kernel,735.2264236
,,,,
1759,4-Kernel,ptg000030l.211,Kernel,838.3903866
,,,,
1881,4-Kernel,ptg000030l.211,Kernel,983.4777307
,,,,
2007,4-Kernel,ptg000030l.211,Kernel,764.2160246
,,,,
2139,4-Kernel,ptg000030l.211,Kernel,976.3338826
,,,,
2284,4-Kernel,ptg000030l.211,Kernel,918.8311136
,,,,
2377,4-Kernel,ptg000030l.211,Kernel,743.8822322
,,,,
2475,4-Kernel,ptg000030l.211,Kernel,856.5561661
,,,,
2564,4-Kernel,ptg000030l.211,Kernel,967.2984697
,,,,
865,5-Hull,ptg000011l.444,Hull,670.9533713
,,,,
993,5-Hull,ptg000011l.444,Hull,697.2442941
,,,,
1106,5-Hull,ptg000011l.444,Hull,924.8878319
,,,,
1223,5-Hull,ptg000011l.444,Hull,866.9081324
,,,,
1357,5-Hull,ptg000011l.444,Hull,1111.108602
,,,,
1508,5-Hull,ptg000011l.444,Hull,1153.334717
,,,,
1647,5-Hull,ptg000011l.444,Hull,858.7462902
,,,,
1759,5-Hull,ptg000011l.444,Hull,1356.124263
,,,,
1881,5-Hull,ptg000011l.444,Hull,1277.965178
,,,,
2007,5-Hull,ptg000011l.444,Hull,750.2043001
,,,,
2139,5-Hull,ptg000011l.444,Hull,565.2684535
,,,,
2284,5-Hull,ptg000011l.444,Hull,867.9074506
,,,,
2377,5-Hull,ptg000011l.444,Hull,817.9435298
,,,,
2475,5-Hull,ptg000011l.444,Hull,644.6557339
,,,,
2564,5-Hull,ptg000011l.444,Hull,962.0994993
,,,,
